"age", "gender", "signed_in", "avg_click", "avg_impressions", "max_click", "max_impressions"
25, 1, 1, 0.047, 5.123, 2, 15
34, 1, 1, 0.038, 4.960, 2, 15
50, 1, 1, 0.052, 5.059, 2, 14
44, 0, 1, 0.063, 4.970, 2, 13
46, 1, 1, 0.040, 4.990, 2, 14
76, 0, 1, 0.167, 5.049, 2, 12
15, 1, 1, 0.138, 4.934, 3, 14
78, 0, 1, 0.144, 5.183, 2, 13
38, 1, 1, 0.057, 5.013, 2, 15
41, 1, 1, 0.054, 5.069, 2, 16
50, 0, 1, 0.050, 5.002, 2, 14
57, 1, 1, 0.102, 5.021, 3, 15
42, 1, 1, 0.055, 5.030, 2, 15
55, 0, 1, 0.095, 5.002, 2, 13
26, 0, 1, 0.049, 5.019, 2, 14
53, 1, 1, 0.055, 5.021, 2, 14
37, 0, 1, 0.057, 5.040, 2, 16
67, 1, 1, 0.136, 4.995, 2, 12
56, 1, 1, 0.109, 5.051, 3, 14
52, 1, 1, 0.052, 4.985, 2, 15
55, 1, 1, 0.093, 5.035, 2, 14
77, 0, 1, 0.144, 4.880, 2, 15
40, 0, 1, 0.051, 5.027, 2, 14
85, 0, 1, 0.066, 4.847, 1, 11
66, 0, 1, 0.172, 4.929, 3, 15
58, 0, 1, 0.112, 5.039, 2, 13
82, 1, 1, 0.190, 5.015, 2, 16
16, 1, 1, 0.148, 5.023, 3, 16
13, 1, 1, 0.151, 4.999, 2, 15
45, 0, 1, 0.050, 5.065, 2, 15
25, 0, 1, 0.042, 4.903, 2, 15
70, 1, 1, 0.153, 5.018, 2, 16
70, 0, 1, 0.169, 5.108, 2, 12
37, 1, 1, 0.049, 5.035, 2, 20
85, 1, 1, 0.122, 4.817, 1, 12
27, 1, 1, 0.054, 4.968, 2, 14
84, 1, 1, 0.132, 4.959, 1, 9
63, 0, 1, 0.101, 5.109, 2, 14
54, 0, 1, 0.046, 5.071, 2, 15
33, 1, 1, 0.047, 5.021, 2, 14
51, 0, 1, 0.045, 5.012, 2, 14
13, 0, 1, 0.145, 4.988, 2, 12
20, 0, 1, 0.049, 4.962, 2, 15
15, 0, 1, 0.176, 4.965, 2, 15
10, 0, 1, 0.125, 5.219, 1, 11
35, 1, 1, 0.051, 5.048, 2, 13
81, 1, 1, 0.139, 4.804, 2, 14
68, 0, 1, 0.143, 5.032, 3, 16
68, 1, 1, 0.167, 4.950, 2, 12
24, 0, 1, 0.043, 4.920, 1, 15
72, 0, 1, 0.128, 5.053, 2, 13
20, 1, 1, 0.044, 4.977, 2, 16
69, 0, 1, 0.139, 5.126, 2, 15
87, 0, 1, 0.109, 5.109, 1, 12
28, 1, 1, 0.045, 4.856, 2, 14
80, 0, 1, 0.150, 4.817, 2, 13
56, 0, 1, 0.091, 4.928, 2, 15
80, 1, 1, 0.162, 4.764, 3, 10
11, 1, 1, 0.126, 5.184, 1, 13
72, 1, 1, 0.133, 4.908, 2, 12
54, 1, 1, 0.047, 4.989, 1, 15
76, 1, 1, 0.146, 4.982, 2, 15
74, 1, 1, 0.181, 4.966, 3, 14
88, 0, 1, 0.102, 4.980, 1, 11
12, 0, 1, 0.150, 4.755, 2, 16
83, 0, 1, 0.149, 5.072, 3, 13
77, 1, 1, 0.134, 5.113, 2, 13
17, 0, 1, 0.158, 5.139, 2, 12
86, 0, 1, 0.127, 5.120, 3, 14
81, 0, 1, 0.147, 5.031, 2, 13
71, 1, 1, 0.157, 4.977, 2, 13
78, 1, 1, 0.128, 5.051, 2, 12
75, 0, 1, 0.164, 5.019, 2, 13
89, 0, 1, 0.075, 4.963, 1, 12
64, 0, 1, 0.115, 5.106, 2, 13
12, 1, 1, 0.161, 4.953, 2, 13
9, 1, 1, 0.094, 5.438, 1, 9
96, 0, 1, 0.059, 5.235, 1, 10
82, 0, 1, 0.144, 5.139, 2, 14
88, 1, 1, 0.175, 5.088, 1, 11
69, 1, 1, 0.148, 5.075, 2, 14
65, 0, 1, 0.129, 5.065, 2, 13
10, 1, 1, 0.185, 4.654, 1, 11
84, 0, 1, 0.153, 4.899, 2, 12
79, 1, 1, 0.185, 5.149, 2, 12
86, 1, 1, 0.151, 4.756, 3, 11
75, 1, 1, 0.153, 4.923, 2, 14
102, 1, 1, 0.000, 4.500, 0, 6
98, 1, 1, 0.000, 4.000, 0, 7
90, 0, 1, 0.173, 5.040, 2, 10
9, 0, 1, 0.125, 5.688, 1, 10
99, 1, 1, 0.000, 8.000, 0, 12
91, 0, 1, 0.085, 4.660, 1, 12
92, 1, 1, 0.212, 5.061, 1, 14
87, 1, 1, 0.108, 4.946, 2, 12
89, 1, 1, 0.125, 5.021, 1, 10
98, 0, 1, 0.222, 4.111, 1, 7
90, 1, 1, 0.226, 5.194, 1, 10
95, 0, 1, 0.136, 4.864, 1, 9
8, 1, 1, 0.333, 6.250, 1, 11
94, 1, 1, 0.348, 4.609, 2, 9
99, 0, 1, 0.200, 5.800, 1, 7
93, 0, 1, 0.250, 4.929, 1, 8
91, 1, 1, 0.080, 4.440, 1, 13
92, 0, 1, 0.061, 4.697, 1, 9
97, 0, 1, 0.143, 4.714, 1, 6
94, 0, 1, 0.154, 5.192, 2, 9
96, 1, 1, 0.000, 5.500, 0, 9
95, 1, 1, 0.154, 5.077, 1, 9
97, 1, 1, 0.143, 5.143, 1, 9
7, 0, 1, 0.750, 5.000, 1, 7
93, 1, 1, 0.000, 5.286, 0, 8
8, 0, 1, 0.000, 6.333, 0, 10
100, 0, 1, 0.000, 2.000, 0, 2
103, 0, 1, 0.000, 4.000, 0, 4
107, 1, 1, 0.500, 4.500, 1, 5
100, 1, 1, 0.333, 2.667, 1, 4
101, 1, 1, 0.000, 4.500, 0, 5
103, 1, 1, 0.000, 3.000, 0, 3
101, 0, 1, 0.000, 3.500, 0, 5
108, 0, 1, 0.000, 3.000, 0, 3
104, 1, 1, 1.000, 6.000, 1, 6
7, 1, 1, 0.000, 6.000, 0, 6
