"Connection", "Skill"
39, "SDLC, Project Portfolio...."
40, "CISA, CISSP, CEH, CCNA."
41, "Digital Marketing, Mobile Devices, Business Development, Analytics, User Interface Design, Online Research, Survey Design, Advertising, Online Publishing, Customer Insight, Social Media Marketing."
42, " "
43, "Risk Management, Enterprise Risk..., Governance, Internal Controls."
44, "Recruiting, Contract Recruitment, Permanent Placement, New Business Development, Executive Search."
45, "Executive Search."
46, "Product Marketing, Online Advertising, Product Management, E-commerce."
47, "Key Account Management, Solution Selling, Strategic Thinking, Customer Experience, Value Based Selling, Professional Services."
48, " "
49, "Talent Acquisition, Talent Management, Executive Search, HR Consulting, Interviews, CRM, Recruitment Advertising, Human Resources."
50, " "
51, "Tax Advisory, Tax, Trusts, CPA, Corporate Tax, Auditing, IFRS, Tax Accounting, Mergers & Acquisitions, Income Tax, Partnership Taxation, External Audit, Internal Controls, Business Advisory, Business Valuation, Tax Law, Accountants, Accounting, Tax Preparation, Tax Returns, Audit."
52, " "
53, " "
54, "ITIL, Virtualization, Servers, Microsoft Exchange, Data Center, Cloud Computing, Information Security, CCNA, Deployment, Windows, IIS, Troubleshooting, Video Conferencing, Citrix."
55, "IT Audit, Governance, CISA, Risk Management, Information Security, ISO 27001."
56, "Linux, Mobile Applications, E-commerce, Web Analytics, PHP, MySQL, Web Development."
57, "Marketing Strategy, Telecommunications, Strategic Partnerships, Venture Capital, Angel Investing, Start-ups, Security, SaaS, Go-to-market Strategy, Marketing Management, Network Security."
58, "Information Security..., Information Security, CISSP, Enterprise Risk..., IT Audit, Risk Management, CISM, Data Privacy."
59, "Computer Graphics, Python, MEL, Visual Effects, Animation, Game Development, 3D."
60, "Digital Marketing, Business Strategy, Business Development, Marketing Strategy, Project Management, Social Media, Project Planning, CRM, Mobile Applications."
61, "Change Management, New Business Development, Social Enterprise, Charities, Third Sector, Governance, Social Entrepreneurship, Business Management, Public Relations, Marketing Strategy."
62, "Business Intelligence, Strategy, Strategic Consulting, Analytics."
63, "Strategy, Venture Capital, Management, Private Equity, Business Strategy, Executive Search, Start-ups."
64, "Testing, Software Engineering, PMP, CMMI, Software Project..., Process Improvement, Quality Assurance, Software Quality..., SDLC, Project Management, Linux, Scrum, Security, Requirements Analysis, Process Development, Software Development..., Agile, Process Engineering, Quality Management."
65, "Executive Search, Talent Acquisition, CRM."
66, "Information Security, Security, Governance, Cloud Computing."
67, "Entrepreneurship, Business Strategy, Start-ups, Management Consulting, Project Management, Business Development, Marketing Strategy, Strategic Planning, Business Analysis."
68, "Hedge Funds, Alternative Investments, Due Diligence, Equity Research, Investments, Valuation, Financial Modeling, Fixed Income, Fund Of Funds, Equities, Emerging Markets, Capital Markets, Asset Managment, Financial Analysis."
69, "Program Management."
70, "Information Security, Cloud Computing, E-commerce, Enterprise Software, Product Management, IT Management, PKI, Strategy."
71, "Product Management, Business Strategy, Telecommunications, Cloud Computing, Channel Partners, Pre-sales, Project Management."
72, "PMP, ITIL, SDLC, Data Center, IT Compliance, Leading Projects, IT Security Policies."
73, "Mobile Applications, Objective-C, Mobile Devices, Mobile Technology, User Interface, iOS development, User Experience, Mobile Internet, Linux."
74, "Product Management, Business Development, Banking, Strategy, E-commerce, Payments, Project Planning, Contract Negotia
